"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1296","should show success state even for non-existent email (enumeration prevention)","chromium","Fri May 01 05:44:31 UTC 2026","passed","Fri May 01 05:44:33 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","5126","should allow normal login without 2FA after disabling it","mobile-chrome","Fri May 01 05:44:26 UTC 2026","passed","Fri May 01 05:44:31 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","584","should display forgot password form elements","mobile-chrome","Fri May 01 05:44:26 UTC 2026","passed","Fri May 01 05:44:26 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","4372","should show enable button after successfully disabling 2FA","mobile-chrome","Fri May 01 05:44:24 UTC 2026","passed","Fri May 01 05:44:28 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","886","should toggle flag from list","mobile-chrome","Fri May 01 05:44:17 UTC 2026","passed","Fri May 01 05:44:18 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","1217","should allow access to forgot password page","chromium","Fri May 01 05:44:30 UTC 2026","passed","Fri May 01 05:44:31 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","1636","should show error with invalid credentials","chromium","Fri May 01 05:44:03 UTC 2026","passed","Fri May 01 05:44:05 UTC 2026","Login page","auth/login.spec.ts","",""
"","1633","should show success state after submitting valid email","chromium","Fri May 01 05:44:31 UTC 2026","passed","Fri May 01 05:44:33 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","694","should show validation for blank name","mobile-chrome","Fri May 01 05:44:09 UTC 2026","passed","Fri May 01 05:44:09 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","4058","should reject invalid TOTP code when disabling 2FA","chromium","Fri May 01 05:44:16 UTC 2026","passed","Fri May 01 05:44:20 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","1711","should create flag with all fields filled","chromium","Fri May 01 05:44:14 UTC 2026","passed","Fri May 01 05:44:16 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","2770","should display disable 2FA button when 2FA is enabled","mobile-chrome","Fri May 01 05:44:23 UTC 2026","passed","Fri May 01 05:44:25 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
