"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","317","should display Ukrainian content by default","mobile-chrome","Sat Feb 14 20:43:35 UTC 2026","passed","Sat Feb 14 20:43:35 UTC 2026","Home page","smoke/home.spec.ts","",""
"","4650","should not send email for non-existent user","mobile-chrome","Sat Feb 14 20:43:21 UTC 2026","passed","Sat Feb 14 20:43:26 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","343","should display reset password form with token in URL","chromium","Sat Feb 14 20:42:42 UTC 2026","passed","Sat Feb 14 20:42:42 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","828","should register with valid data","chromium","Sat Feb 14 20:42:39 UTC 2026","passed","Sat Feb 14 20:42:40 UTC 2026","Register page","auth/register.spec.ts","",""
"","1103","should login with valid credentials","chromium","Sat Feb 14 20:42:24 UTC 2026","passed","Sat Feb 14 20:42:25 UTC 2026","Login page","auth/login.spec.ts","",""
"","505","should have navigation link when no token","mobile-chrome","Sat Feb 14 20:43:33 UTC 2026","passed","Sat Feb 14 20:43:34 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","283","should allow access to public home page","chromium","Sat Feb 14 20:42:38 UTC 2026","passed","Sat Feb 14 20:42:38 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","1924","should complete full password reset flow (forgot -> email -> reset -> login)","chromium","Sat Feb 14 20:42:26 UTC 2026","passed","Sat Feb 14 20:42:28 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","269","should stay on root URL (no locale prefix)","chromium","Sat Feb 14 20:42:45 UTC 2026","passed","Sat Feb 14 20:42:45 UTC 2026","Home page","smoke/home.spec.ts","",""
"","374","should redirect unauthenticated user from protected route to login","chromium","Sat Feb 14 20:42:38 UTC 2026","passed","Sat Feb 14 20:42:38 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","374","should display forgot password form elements","chromium","Sat Feb 14 20:42:17 UTC 2026","passed","Sat Feb 14 20:42:17 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","387","should allow access to forgot password page","mobile-chrome","Sat Feb 14 20:42:53 UTC 2026","passed","Sat Feb 14 20:42:53 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","822","should show error for duplicate email","mobile-chrome","Sat Feb 14 20:43:29 UTC 2026","passed","Sat Feb 14 20:43:30 UTC 2026","Register page","auth/register.spec.ts","",""
"","739","should navigate to API OAuth endpoint when clicking Google button on register","mobile-chrome","Sat Feb 14 20:42:58 UTC 2026","passed","Sat Feb 14 20:42:59 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","458","should show validation error for invalid email format","chromium","Sat Feb 14 20:42:20 UTC 2026","passed","Sat Feb 14 20:42:20 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","294","should display Ukrainian content by default","chromium","Sat Feb 14 20:42:45 UTC 2026","passed","Sat Feb 14 20:42:46 UTC 2026","Home page","smoke/home.spec.ts","",""
"","390","should show validation error for empty email submission","chromium","Sat Feb 14 20:42:19 UTC 2026","passed","Sat Feb 14 20:42:20 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","414","should redirect unauthenticated user from protected route to login","mobile-chrome","Sat Feb 14 20:43:26 UTC 2026","passed","Sat Feb 14 20:43:26 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","329","should allow access to public home page","mobile-chrome","Sat Feb 14 20:43:26 UTC 2026","passed","Sat Feb 14 20:43:27 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","402","should show validation error for mismatched passwords","chromium","Sat Feb 14 20:42:43 UTC 2026","passed","Sat Feb 14 20:42:43 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","403","should have Google button as type=button (not submit)","mobile-chrome","Sat Feb 14 20:42:57 UTC 2026","passed","Sat Feb 14 20:42:57 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","812","should create new user via admin form","mobile-chrome","Sat Feb 14 20:42:48 UTC 2026","passed","Sat Feb 14 20:42:49 UTC 2026","User management","admin/user-management.spec.ts","",""
"","543","should show success state even for non-existent email (enumeration prevention)","mobile-chrome","Sat Feb 14 20:42:54 UTC 2026","passed","Sat Feb 14 20:42:55 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","379","should display reset password form with token in URL","mobile-chrome","Sat Feb 14 20:43:31 UTC 2026","passed","Sat Feb 14 20:43:31 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","1989","should show error when reusing an already-used token","mobile-chrome","Sat Feb 14 20:43:06 UTC 2026","passed","Sat Feb 14 20:43:08 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","410","should show validation error for empty password fields","chromium","Sat Feb 14 20:42:43 UTC 2026","passed","Sat Feb 14 20:42:43 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","473","should show validation error for invalid email format","mobile-chrome","Sat Feb 14 20:42:55 UTC 2026","passed","Sat Feb 14 20:42:56 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","746","should show error for duplicate email","chromium","Sat Feb 14 20:42:40 UTC 2026","passed","Sat Feb 14 20:42:41 UTC 2026","Register page","auth/register.spec.ts","",""
"","774","should create new user via admin form","chromium","Sat Feb 14 20:42:14 UTC 2026","passed","Sat Feb 14 20:42:15 UTC 2026","User management","admin/user-management.spec.ts","",""
"","362","should show validation errors on invalid create","mobile-chrome","Sat Feb 14 20:42:49 UTC 2026","passed","Sat Feb 14 20:42:50 UTC 2026","User management","admin/user-management.spec.ts","",""
"","378","should display Google sign-in button on login page","mobile-chrome","Sat Feb 14 20:42:56 UTC 2026","passed","Sat Feb 14 20:42:56 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","412","should show validation error for short password","chromium","Sat Feb 14 20:42:43 UTC 2026","passed","Sat Feb 14 20:42:44 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","492","should show validation error for empty password fields","mobile-chrome","Sat Feb 14 20:43:31 UTC 2026","passed","Sat Feb 14 20:43:32 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","551","should show error with invalid credentials","mobile-chrome","Sat Feb 14 20:43:00 UTC 2026","passed","Sat Feb 14 20:43:01 UTC 2026","Login page","auth/login.spec.ts","",""
"","861","should show success state after submitting valid email","mobile-chrome","Sat Feb 14 20:42:53 UTC 2026","passed","Sat Feb 14 20:42:54 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","497","should show error for invalid token on submit","chromium","Sat Feb 14 20:42:44 UTC 2026","passed","Sat Feb 14 20:42:44 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","387","should display login form elements","chromium","Sat Feb 14 20:42:23 UTC 2026","passed","Sat Feb 14 20:42:24 UTC 2026","Login page","auth/login.spec.ts","",""
"","613","should change user tier","chromium","Sat Feb 14 20:42:15 UTC 2026","passed","Sat Feb 14 20:42:16 UTC 2026","User management","admin/user-management.spec.ts","",""
"","473","should have link back to login page and navigate to it","chromium","Sat Feb 14 20:42:20 UTC 2026","passed","Sat Feb 14 20:42:21 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","600","should update user profile","chromium","Sat Feb 14 20:42:14 UTC 2026","passed","Sat Feb 14 20:42:14 UTC 2026","User management","admin/user-management.spec.ts","",""
"","366","should allow access to forgot password page","chromium","Sat Feb 14 20:42:17 UTC 2026","passed","Sat Feb 14 20:42:18 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","402","should display login form elements","mobile-chrome","Sat Feb 14 20:42:59 UTC 2026","passed","Sat Feb 14 20:42:59 UTC 2026","Login page","auth/login.spec.ts","",""
"","706","should navigate to API OAuth endpoint when clicking Google button on login","mobile-chrome","Sat Feb 14 20:42:57 UTC 2026","passed","Sat Feb 14 20:42:58 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","353","should display Google sign-in button on register page","chromium","Sat Feb 14 20:42:21 UTC 2026","passed","Sat Feb 14 20:42:21 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","537","should delete user from detail page","chromium","Sat Feb 14 20:42:17 UTC 2026","passed","Sat Feb 14 20:42:17 UTC 2026","User management","admin/user-management.spec.ts","",""
"","533","should change user tier","mobile-chrome","Sat Feb 14 20:42:50 UTC 2026","passed","Sat Feb 14 20:42:50 UTC 2026","User management","admin/user-management.spec.ts","",""
"","438","should show validation error for empty email submission","mobile-chrome","Sat Feb 14 20:42:55 UTC 2026","passed","Sat Feb 14 20:42:55 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","390","should display Google sign-in button on register page","mobile-chrome","Sat Feb 14 20:42:56 UTC 2026","passed","Sat Feb 14 20:42:57 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","428","should allow access to register page","mobile-chrome","Sat Feb 14 20:43:27 UTC 2026","passed","Sat Feb 14 20:43:28 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","516","should navigate to user detail from list","mobile-chrome","Sat Feb 14 20:42:47 UTC 2026","passed","Sat Feb 14 20:42:48 UTC 2026","User management","admin/user-management.spec.ts","",""
"","2297","should not be able to login with old password after reset","mobile-chrome","Sat Feb 14 20:43:03 UTC 2026","passed","Sat Feb 14 20:43:06 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","389","should display Google sign-in button on login page","chromium","Sat Feb 14 20:42:21 UTC 2026","passed","Sat Feb 14 20:42:21 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","457","should show validation error for empty form","mobile-chrome","Sat Feb 14 20:43:01 UTC 2026","passed","Sat Feb 14 20:43:01 UTC 2026","Login page","auth/login.spec.ts","",""
"","1222","authenticate as basic user","auth-setup","Sat Feb 14 20:42:09 UTC 2026","passed","Sat Feb 14 20:42:10 UTC 2026","","../src/auth/auth.setup.ts","",""
"","822","should register with valid data","mobile-chrome","Sat Feb 14 20:43:28 UTC 2026","passed","Sat Feb 14 20:43:29 UTC 2026","Register page","auth/register.spec.ts","",""
"","336","should stay on root URL (no locale prefix)","mobile-chrome","Sat Feb 14 20:43:34 UTC 2026","passed","Sat Feb 14 20:43:35 UTC 2026","Home page","smoke/home.spec.ts","",""
"","369","should have Google button as type=button (not submit)","chromium","Sat Feb 14 20:42:21 UTC 2026","passed","Sat Feb 14 20:42:22 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","358","should display the main heading","mobile-chrome","Sat Feb 14 20:43:34 UTC 2026","passed","Sat Feb 14 20:43:34 UTC 2026","Home page","smoke/home.spec.ts","",""
"","395","should display registration form elements","chromium","Sat Feb 14 20:42:39 UTC 2026","passed","Sat Feb 14 20:42:39 UTC 2026","Register page","auth/register.spec.ts","",""
"","545","should show error for invalid token on submit","mobile-chrome","Sat Feb 14 20:43:33 UTC 2026","passed","Sat Feb 14 20:43:33 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
