"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3819","should complete login with valid TOTP code after 2FA redirect","chromium","Mon Jun 15 07:23:33 UTC 2026","passed","Mon Jun 15 07:23:37 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","525","should display all form fields","chromium","Mon Jun 15 07:23:35 UTC 2026","passed","Mon Jun 15 07:23:35 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","473","should cancel creation and return to list","mobile-chrome","Mon Jun 15 07:23:28 UTC 2026","passed","Mon Jun 15 07:23:28 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","933","should show tab controls","chromium","Mon Jun 15 07:23:27 UTC 2026","passed","Mon Jun 15 07:23:28 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","2324","should enable 2FA and show QR code with secret key","chromium","Mon Jun 15 07:23:39 UTC 2026","passed","Mon Jun 15 07:23:41 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","2599","should disable 2FA with valid TOTP code","chromium","Mon Jun 15 07:23:23 UTC 2026","passed","Mon Jun 15 07:23:25 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","4247","should show enable button after successfully disabling 2FA","chromium","Mon Jun 15 07:23:28 UTC 2026","passed","Mon Jun 15 07:23:32 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","687","should display the main heading","chromium","Mon Jun 15 07:23:44 UTC 2026","passed","Mon Jun 15 07:23:45 UTC 2026","Home page","smoke/home.spec.ts","",""
"","661","should show validation error for short password","chromium","Mon Jun 15 07:23:21 UTC 2026","passed","Mon Jun 15 07:23:22 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","829","should display registration form elements","mobile-chrome","Mon Jun 15 07:23:36 UTC 2026","passed","Mon Jun 15 07:23:36 UTC 2026","Register page","auth/register.spec.ts","",""
"","666","should stay on root URL (no locale prefix)","chromium","Mon Jun 15 07:23:45 UTC 2026","passed","Mon Jun 15 07:23:45 UTC 2026","Home page","smoke/home.spec.ts","",""
"","934","should create new user via admin form","chromium","Mon Jun 15 07:23:48 UTC 2026","passed","Mon Jun 15 07:23:49 UTC 2026","User management","admin/user-management.spec.ts","",""
