"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1138","should display correct table columns","chromium","Thu Mar 19 04:25:58 UTC 2026","passed","Thu Mar 19 04:25:59 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","627","should display notifications page heading","chromium","Thu Mar 19 04:26:35 UTC 2026","passed","Thu Mar 19 04:26:36 UTC 2026","Notification center","notifications/notification-center.spec.ts","",""
"","518","should show validation errors on invalid create","chromium","Thu Mar 19 04:26:17 UTC 2026","passed","Thu Mar 19 04:26:17 UTC 2026","User management","admin/user-management.spec.ts","",""
"","5309","should complete full password reset flow (forgot -> email -> reset -> login)","chromium","Thu Mar 19 04:26:13 UTC 2026","passed","Thu Mar 19 04:26:18 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","333","should display create flag form elements","chromium","Thu Mar 19 04:26:09 UTC 2026","passed","Thu Mar 19 04:26:10 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","619","should allow access to login page","chromium","Thu Mar 19 04:26:18 UTC 2026","passed","Thu Mar 19 04:26:19 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","1525","should show error with invalid credentials","mobile-chrome","Thu Mar 19 04:25:54 UTC 2026","passed","Thu Mar 19 04:25:56 UTC 2026","Login page","auth/login.spec.ts","",""
"","1696","should reset filters","mobile-chrome","Thu Mar 19 04:26:17 UTC 2026","passed","Thu Mar 19 04:26:18 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","1232","should show pagination controls when multiple pages","mobile-chrome","Thu Mar 19 04:26:16 UTC 2026","passed","Thu Mar 19 04:26:18 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","2764","should reject invalid TOTP code during setup","mobile-chrome","Thu Mar 19 04:26:20 UTC 2026","passed","Thu Mar 19 04:26:23 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","394","should display admin notifications page","mobile-chrome","Thu Mar 19 04:26:40 UTC 2026","passed","Thu Mar 19 04:26:40 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","1171","should show validation error for mismatched passwords","chromium","Thu Mar 19 04:26:21 UTC 2026","passed","Thu Mar 19 04:26:23 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","1049","should show filter controls","mobile-chrome","Thu Mar 19 04:26:13 UTC 2026","passed","Thu Mar 19 04:26:14 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","2476","should remove override from table","chromium","Thu Mar 19 04:26:08 UTC 2026","passed","Thu Mar 19 04:26:11 UTC 2026","Feature flag overrides","admin/feature-flags-overrides.spec.ts","",""
"","383","should display create flag form elements","mobile-chrome","Thu Mar 19 04:26:27 UTC 2026","passed","Thu Mar 19 04:26:27 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","1338","should display Google sign-in button on login page","chromium","Thu Mar 19 04:26:08 UTC 2026","passed","Thu Mar 19 04:26:09 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","4604","should not be able to login with old password after reset","mobile-chrome","Thu Mar 19 04:25:56 UTC 2026","passed","Thu Mar 19 04:26:00 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","1212","should filter by entity type","chromium","Thu Mar 19 04:25:58 UTC 2026","passed","Thu Mar 19 04:25:59 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","629","should show preference switches","chromium","Thu Mar 19 04:26:38 UTC 2026","passed","Thu Mar 19 04:26:38 UTC 2026","Notification preferences","notifications/notification-preferences.spec.ts","",""
"","555","should allow access to forgot password page","mobile-chrome","Thu Mar 19 04:26:36 UTC 2026","passed","Thu Mar 19 04:26:37 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","1370","should display Google sign-in button on register page","chromium","Thu Mar 19 04:26:08 UTC 2026","passed","Thu Mar 19 04:26:10 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","679","should show validation for blank name","mobile-chrome","Thu Mar 19 04:26:20 UTC 2026","passed","Thu Mar 19 04:26:21 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","1248","should display audit logs table","mobile-chrome","Thu Mar 19 04:26:12 UTC 2026","passed","Thu Mar 19 04:26:14 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","5129","should not send email for non-existent user","mobile-chrome","Thu Mar 19 04:25:59 UTC 2026","passed","Thu Mar 19 04:26:04 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","1222","should display Google sign-in button on login page","mobile-chrome","Thu Mar 19 04:25:51 UTC 2026","passed","Thu Mar 19 04:25:53 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","3247","should complete 2FA setup with valid TOTP code","chromium","Thu Mar 19 04:26:34 UTC 2026","passed","Thu Mar 19 04:26:38 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","3059","should reject invalid TOTP code during setup","chromium","Thu Mar 19 04:26:34 UTC 2026","passed","Thu Mar 19 04:26:38 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","467","should show forgot password link when no token","mobile-chrome","Thu Mar 19 04:26:03 UTC 2026","passed","Thu Mar 19 04:26:04 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","468","should show pagination when many rules exist","chromium","Thu Mar 19 04:26:14 UTC 2026","passed","Thu Mar 19 04:26:15 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1504","should navigate to centralized audit page filtered by feature flag","chromium","Thu Mar 19 04:26:46 UTC 2026","passed","Thu Mar 19 04:26:48 UTC 2026","Feature flag audit log (centralized)","admin/feature-flags-audit.spec.ts","",""
"","844","should display all flag details on edit page","mobile-chrome","Thu Mar 19 04:26:20 UTC 2026","passed","Thu Mar 19 04:26:21 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","458","should show validation error for empty email submission","chromium","Thu Mar 19 04:26:21 UTC 2026","passed","Thu Mar 19 04:26:21 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","646","should show validation error for invalid key format","mobile-chrome","Thu Mar 19 04:26:19 UTC 2026","passed","Thu Mar 19 04:26:19 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","3411","should display verify 2FA page elements","chromium","Thu Mar 19 04:26:28 UTC 2026","passed","Thu Mar 19 04:26:31 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","969","should show tab controls","mobile-chrome","Thu Mar 19 04:26:12 UTC 2026","passed","Thu Mar 19 04:26:13 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","513","should display create rule form elements","chromium","Thu Mar 19 04:26:12 UTC 2026","passed","Thu Mar 19 04:26:13 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","540","should allow access to register page","mobile-chrome","Thu Mar 19 04:26:01 UTC 2026","passed","Thu Mar 19 04:26:01 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","797","should delete flag from list","chromium","Thu Mar 19 04:26:11 UTC 2026","passed","Thu Mar 19 04:26:11 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","594","should show pagination when many flags exist","mobile-chrome","Thu Mar 19 04:26:29 UTC 2026","passed","Thu Mar 19 04:26:30 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","2852","should display verify 2FA page elements","mobile-chrome","Thu Mar 19 04:26:16 UTC 2026","passed","Thu Mar 19 04:26:18 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","4419","should show enable button after successfully disabling 2FA","chromium","Thu Mar 19 04:26:23 UTC 2026","passed","Thu Mar 19 04:26:28 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","3321","should show 2FA status after enabling","chromium","Thu Mar 19 04:26:35 UTC 2026","passed","Thu Mar 19 04:26:38 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","557","should display all form fields","mobile-chrome","Thu Mar 19 04:26:20 UTC 2026","passed","Thu Mar 19 04:26:20 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","3983","should disable 2FA with valid TOTP code","chromium","Thu Mar 19 04:26:23 UTC 2026","passed","Thu Mar 19 04:26:27 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","3567","should not allow access to protected pages without completing 2FA","chromium","Thu Mar 19 04:26:31 UTC 2026","passed","Thu Mar 19 04:26:35 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","1186","should switch to broadcast tab","chromium","Thu Mar 19 04:25:54 UTC 2026","passed","Thu Mar 19 04:25:56 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","1034","should have Google button as type=button (not submit)","mobile-chrome","Thu Mar 19 04:25:53 UTC 2026","passed","Thu Mar 19 04:25:54 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","557","should display forgot password form elements","mobile-chrome","Thu Mar 19 04:26:36 UTC 2026","passed","Thu Mar 19 04:26:36 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","5853","should not be able to login with old password after reset","chromium","Thu Mar 19 04:26:13 UTC 2026","passed","Thu Mar 19 04:26:19 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","682","should show key as read-only on edit page","mobile-chrome","Thu Mar 19 04:26:23 UTC 2026","passed","Thu Mar 19 04:26:24 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","493","should show empty state or notifications","chromium","Thu Mar 19 04:26:38 UTC 2026","passed","Thu Mar 19 04:26:38 UTC 2026","Notification center","notifications/notification-center.spec.ts","",""
"","3124","authenticate as admin user","auth-setup","Thu Mar 19 04:26:07 UTC 2026","passed","Thu Mar 19 04:26:10 UTC 2026","","../src/auth/auth.setup.ts","",""
"","2492","should send email to registered user","chromium","Thu Mar 19 04:26:14 UTC 2026","passed","Thu Mar 19 04:26:16 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","1716","should send email to registered user","mobile-chrome","Thu Mar 19 04:25:57 UTC 2026","passed","Thu Mar 19 04:25:59 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","723","should display overrides section on detail page","chromium","Thu Mar 19 04:26:06 UTC 2026","passed","Thu Mar 19 04:26:07 UTC 2026","Feature flag overrides","admin/feature-flags-overrides.spec.ts","",""
"","906","should show error for duplicate email","mobile-chrome","Thu Mar 19 04:26:01 UTC 2026","passed","Thu Mar 19 04:26:02 UTC 2026","Register page","auth/register.spec.ts","",""
"","978","should show validation error for empty form","chromium","Thu Mar 19 04:26:12 UTC 2026","passed","Thu Mar 19 04:26:13 UTC 2026","Login page","auth/login.spec.ts","",""
"","2248","should display security settings page with enable 2FA button","chromium","Thu Mar 19 04:26:31 UTC 2026","passed","Thu Mar 19 04:26:33 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","417","should display user list","mobile-chrome","Thu Mar 19 04:26:32 UTC 2026","passed","Thu Mar 19 04:26:32 UTC 2026","User management","admin/user-management.spec.ts","",""
"","425","should show validation errors on invalid create","mobile-chrome","Thu Mar 19 04:26:34 UTC 2026","passed","Thu Mar 19 04:26:34 UTC 2026","User management","admin/user-management.spec.ts","",""
"","1235","should filter by entity type","mobile-chrome","Thu Mar 19 04:26:16 UTC 2026","passed","Thu Mar 19 04:26:17 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","1302","should switch to stats tab","mobile-chrome","Thu Mar 19 04:26:12 UTC 2026","passed","Thu Mar 19 04:26:13 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
