"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","881","should update rule details","mobile-chrome","Wed Jul 15 04:53:48 UTC 2026","passed","Wed Jul 15 04:53:48 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1449","should send email to registered user","mobile-chrome","Wed Jul 15 04:53:38 UTC 2026","passed","Wed Jul 15 04:53:40 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","397","should display feature flags list","chromium","Wed Jul 15 04:53:36 UTC 2026","passed","Wed Jul 15 04:53:36 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","804","should delete user from detail page","mobile-chrome","Wed Jul 15 04:53:53 UTC 2026","passed","Wed Jul 15 04:53:53 UTC 2026","User management","admin/user-management.spec.ts","",""
"","1405","should show error with invalid credentials","mobile-chrome","Wed Jul 15 04:53:36 UTC 2026","passed","Wed Jul 15 04:53:37 UTC 2026","Login page","auth/login.spec.ts","",""
"","977","should create new user via admin form","chromium","Wed Jul 15 04:53:44 UTC 2026","passed","Wed Jul 15 04:53:45 UTC 2026","User management","admin/user-management.spec.ts","",""
"","2066","should reject invalid TOTP code when disabling 2FA","mobile-chrome","Wed Jul 15 04:53:45 UTC 2026","passed","Wed Jul 15 04:53:47 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","754","should display Ukrainian content by default","chromium","Wed Jul 15 04:53:57 UTC 2026","passed","Wed Jul 15 04:53:57 UTC 2026","Home page","smoke/home.spec.ts","",""
"","1363","should switch to broadcast tab","mobile-chrome","Wed Jul 15 04:53:27 UTC 2026","passed","Wed Jul 15 04:53:29 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","1832","should reset filters","mobile-chrome","Wed Jul 15 04:53:32 UTC 2026","passed","Wed Jul 15 04:53:34 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","1444","should switch to stats tab","mobile-chrome","Wed Jul 15 04:53:27 UTC 2026","passed","Wed Jul 15 04:53:29 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","645","should navigate back to list from detail page","mobile-chrome","Wed Jul 15 04:53:39 UTC 2026","passed","Wed Jul 15 04:53:39 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","298","should allow access to public home page","chromium","Wed Jul 15 04:53:29 UTC 2026","passed","Wed Jul 15 04:53:30 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","1590","should add tier override and see it in table","mobile-chrome","Wed Jul 15 04:53:40 UTC 2026","passed","Wed Jul 15 04:53:42 UTC 2026","Feature flag overrides","admin/feature-flags-overrides.spec.ts","",""
"","1446","should display audit logs table","mobile-chrome","Wed Jul 15 04:53:27 UTC 2026","passed","Wed Jul 15 04:53:29 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","726","should navigate to rule detail from list","chromium","Wed Jul 15 04:53:40 UTC 2026","passed","Wed Jul 15 04:53:41 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1233","should filter by entity type","chromium","Wed Jul 15 04:53:25 UTC 2026","passed","Wed Jul 15 04:53:26 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","939","should toggle user status","chromium","Wed Jul 15 04:53:45 UTC 2026","passed","Wed Jul 15 04:53:46 UTC 2026","User management","admin/user-management.spec.ts","",""
"","1519","should switch to stats tab","chromium","Wed Jul 15 04:53:21 UTC 2026","passed","Wed Jul 15 04:53:22 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","857","should update flag details","mobile-chrome","Wed Jul 15 04:53:45 UTC 2026","passed","Wed Jul 15 04:53:45 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","2177","should navigate to API OAuth endpoint when clicking Google button on login","chromium","Wed Jul 15 04:53:22 UTC 2026","passed","Wed Jul 15 04:53:24 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","630","should show validation error for short password","chromium","Wed Jul 15 04:53:34 UTC 2026","passed","Wed Jul 15 04:53:35 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","421","should show forgot password link when no token","mobile-chrome","Wed Jul 15 04:53:43 UTC 2026","passed","Wed Jul 15 04:53:43 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","683","should show success state even for non-existent email (enumeration prevention)","chromium","Wed Jul 15 04:53:47 UTC 2026","passed","Wed Jul 15 04:53:48 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","780","should update rule details","chromium","Wed Jul 15 04:53:41 UTC 2026","passed","Wed Jul 15 04:53:42 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1547","should filter by action","mobile-chrome","Wed Jul 15 04:53:29 UTC 2026","passed","Wed Jul 15 04:53:30 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","449","should display reset password form with token in URL","mobile-chrome","Wed Jul 15 04:53:43 UTC 2026","passed","Wed Jul 15 04:53:43 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","937","should create flag with minimum required fields only","chromium","Wed Jul 15 04:53:28 UTC 2026","passed","Wed Jul 15 04:53:29 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","869","should show error for duplicate email","chromium","Wed Jul 15 04:53:32 UTC 2026","passed","Wed Jul 15 04:53:33 UTC 2026","Register page","auth/register.spec.ts","",""
"","1727","should update description and verify persistence","chromium","Wed Jul 15 04:53:34 UTC 2026","passed","Wed Jul 15 04:53:35 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","704","should update flag details","chromium","Wed Jul 15 04:53:38 UTC 2026","passed","Wed Jul 15 04:53:39 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","727","should delete rule from list","mobile-chrome","Wed Jul 15 04:53:47 UTC 2026","passed","Wed Jul 15 04:53:48 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1704","should navigate to API OAuth endpoint when clicking Google button on register","mobile-chrome","Wed Jul 15 04:53:34 UTC 2026","passed","Wed Jul 15 04:53:36 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","1816","should update rollout percentage","mobile-chrome","Wed Jul 15 04:53:37 UTC 2026","passed","Wed Jul 15 04:53:39 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","672","should create flag with all fields filled","mobile-chrome","Wed Jul 15 04:53:34 UTC 2026","passed","Wed Jul 15 04:53:35 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","3344","should disable 2FA with valid TOTP code","chromium","Wed Jul 15 04:53:36 UTC 2026","passed","Wed Jul 15 04:53:39 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","489","should display admin notifications page","mobile-chrome","Wed Jul 15 04:53:58 UTC 2026","passed","Wed Jul 15 04:53:59 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","922","should display admin notifications page","chromium","Wed Jul 15 04:53:21 UTC 2026","passed","Wed Jul 15 04:53:22 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","3005","should display verify 2FA page elements","chromium","Wed Jul 15 04:53:47 UTC 2026","passed","Wed Jul 15 04:53:50 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","785","should show read/unread filter buttons","chromium","Wed Jul 15 04:53:55 UTC 2026","passed","Wed Jul 15 04:53:56 UTC 2026","Notification center","notifications/notification-center.spec.ts","",""
"","2915","should reject invalid TOTP code during setup","chromium","Wed Jul 15 04:53:52 UTC 2026","passed","Wed Jul 15 04:53:55 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","2530","should remove override from table","chromium","Wed Jul 15 04:53:35 UTC 2026","passed","Wed Jul 15 04:53:38 UTC 2026","Feature flag overrides","admin/feature-flags-overrides.spec.ts","",""
"","532","should show validation for blank name","chromium","Wed Jul 15 04:53:30 UTC 2026","passed","Wed Jul 15 04:53:30 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","2410","should complete 2FA setup with valid TOTP code","mobile-chrome","Wed Jul 15 04:53:55 UTC 2026","passed","Wed Jul 15 04:53:57 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","770","should show error for invalid token on submit","chromium","Wed Jul 15 04:53:35 UTC 2026","passed","Wed Jul 15 04:53:36 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","836","should toggle user status","mobile-chrome","Wed Jul 15 04:53:51 UTC 2026","passed","Wed Jul 15 04:53:52 UTC 2026","User management","admin/user-management.spec.ts","",""
"","513","should display all form fields","mobile-chrome","Wed Jul 15 04:53:36 UTC 2026","passed","Wed Jul 15 04:53:36 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","397","should display registration form elements","chromium","Wed Jul 15 04:53:30 UTC 2026","passed","Wed Jul 15 04:53:31 UTC 2026","Register page","auth/register.spec.ts","",""
"","446","should display feature flags list","mobile-chrome","Wed Jul 15 04:53:42 UTC 2026","passed","Wed Jul 15 04:53:42 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","1707","should show validation error for invalid email format","chromium","Wed Jul 15 04:53:20 UTC 2026","passed","Wed Jul 15 04:53:22 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","2378","should enable 2FA and show QR code with secret key","chromium","Wed Jul 15 04:53:51 UTC 2026","passed","Wed Jul 15 04:53:54 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","1004","should show tab controls","mobile-chrome","Wed Jul 15 04:53:27 UTC 2026","passed","Wed Jul 15 04:53:28 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","495","should display user list","mobile-chrome","Wed Jul 15 04:53:48 UTC 2026","passed","Wed Jul 15 04:53:49 UTC 2026","User management","admin/user-management.spec.ts","",""
"","573","should toggle flag from list","chromium","Wed Jul 15 04:53:38 UTC 2026","passed","Wed Jul 15 04:53:38 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","821","should delete flag from list","chromium","Wed Jul 15 04:53:38 UTC 2026","passed","Wed Jul 15 04:53:39 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
