"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4354","should reject invalid TOTP code when disabling 2FA","mobile-chrome","Mon May 18 06:16:55 UTC 2026","passed","Mon May 18 06:16:59 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","916","should delete flag from list","chromium","Mon May 18 06:16:46 UTC 2026","passed","Mon May 18 06:16:47 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","404","should display feature flags list","mobile-chrome","Mon May 18 06:16:57 UTC 2026","passed","Mon May 18 06:16:57 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","2867","should show 2FA status after enabling","chromium","Mon May 18 06:16:59 UTC 2026","passed","Mon May 18 06:17:02 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","1002","should have Google button as type=button (not submit)","chromium","Mon May 18 06:16:34 UTC 2026","passed","Mon May 18 06:16:35 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","744","should display overrides section on detail page","chromium","Mon May 18 06:16:43 UTC 2026","passed","Mon May 18 06:16:44 UTC 2026","Feature flag overrides","admin/feature-flags-overrides.spec.ts","",""
"","3365","should display verify 2FA page elements","mobile-chrome","Mon May 18 06:16:59 UTC 2026","passed","Mon May 18 06:17:03 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","726","should show read/unread filter buttons","mobile-chrome","Mon May 18 06:17:09 UTC 2026","passed","Mon May 18 06:17:09 UTC 2026","Notification center","notifications/notification-center.spec.ts","",""
"","725","should display preferences form","mobile-chrome","Mon May 18 06:17:09 UTC 2026","passed","Mon May 18 06:17:10 UTC 2026","Notification preferences","notifications/notification-preferences.spec.ts","",""
"","1723","should add tier override and see it in table","chromium","Mon May 18 06:16:43 UTC 2026","passed","Mon May 18 06:16:45 UTC 2026","Feature flag overrides","admin/feature-flags-overrides.spec.ts","",""
"","760","should allow access to login page","mobile-chrome","Mon May 18 06:16:50 UTC 2026","passed","Mon May 18 06:16:51 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","585","should show pagination when many rules exist","chromium","Mon May 18 06:16:49 UTC 2026","passed","Mon May 18 06:16:50 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1329","should show validation error for empty form","mobile-chrome","Mon May 18 06:16:43 UTC 2026","passed","Mon May 18 06:16:45 UTC 2026","Login page","auth/login.spec.ts","",""
"","811","should display the main heading","chromium","Mon May 18 06:17:01 UTC 2026","passed","Mon May 18 06:17:02 UTC 2026","Home page","smoke/home.spec.ts","",""
"","679","should navigate to rule detail from list","mobile-chrome","Mon May 18 06:17:01 UTC 2026","passed","Mon May 18 06:17:02 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","497","should show pagination when many rules exist","mobile-chrome","Mon May 18 06:17:03 UTC 2026","passed","Mon May 18 06:17:03 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","468","should display admin notifications page","mobile-chrome","Mon May 18 06:17:04 UTC 2026","passed","Mon May 18 06:17:04 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","1162","should show filter controls","mobile-chrome","Mon May 18 06:16:45 UTC 2026","passed","Mon May 18 06:16:46 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","4227","should redirect to 2FA verification after login when 2FA is enabled","chromium","Mon May 18 06:16:51 UTC 2026","passed","Mon May 18 06:16:55 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","686","should navigate to flag detail from list","chromium","Mon May 18 06:16:45 UTC 2026","passed","Mon May 18 06:16:46 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","372","should display create flag form elements","mobile-chrome","Mon May 18 06:16:58 UTC 2026","passed","Mon May 18 06:16:58 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","3751","should disable 2FA with valid TOTP code","mobile-chrome","Mon May 18 06:16:54 UTC 2026","passed","Mon May 18 06:16:58 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","1216","should switch to broadcast tab","chromium","Mon May 18 06:16:32 UTC 2026","passed","Mon May 18 06:16:33 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","718","should delete user from detail page","mobile-chrome","Mon May 18 06:17:08 UTC 2026","passed","Mon May 18 06:17:08 UTC 2026","User management","admin/user-management.spec.ts","",""
