"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1273","should show validation error for empty form","mobile-chrome","Sun May 24 06:03:49 UTC 2026","passed","Sun May 24 06:03:50 UTC 2026","Login page","auth/login.spec.ts","",""
"","3081","should not allow access to protected pages without completing 2FA","chromium","Sun May 24 06:04:21 UTC 2026","passed","Sun May 24 06:04:24 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","736","should delete user from detail page","mobile-chrome","Sun May 24 06:04:40 UTC 2026","passed","Sun May 24 06:04:41 UTC 2026","User management","admin/user-management.spec.ts","",""
"","714","should display reset password form with token in URL","mobile-chrome","Sun May 24 06:03:57 UTC 2026","passed","Sun May 24 06:03:58 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","1876","should update flag name and verify persistence","chromium","Sun May 24 06:03:58 UTC 2026","passed","Sun May 24 06:04:00 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","1071","should switch to broadcast tab","chromium","Sun May 24 06:03:49 UTC 2026","passed","Sun May 24 06:03:50 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","895","should have navigation link when no token","mobile-chrome","Sun May 24 06:03:59 UTC 2026","passed","Sun May 24 06:04:00 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","369","should display user list","chromium","Sun May 24 06:04:10 UTC 2026","passed","Sun May 24 06:04:10 UTC 2026","User management","admin/user-management.spec.ts","",""
"","695","should delete user from detail page","chromium","Sun May 24 06:04:14 UTC 2026","passed","Sun May 24 06:04:15 UTC 2026","User management","admin/user-management.spec.ts","",""
"","4606","should allow normal login without 2FA after disabling it","mobile-chrome","Sun May 24 06:04:01 UTC 2026","passed","Sun May 24 06:04:06 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
