"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2451","should navigate to API OAuth endpoint when clicking Google button on register","chromium","Fri Apr 03 04:32:33 UTC 2026","passed","Fri Apr 03 04:32:36 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","380","should display user list","chromium","Fri Apr 03 04:32:47 UTC 2026","passed","Fri Apr 03 04:32:47 UTC 2026","User management","admin/user-management.spec.ts","",""
"","566","should show validation for blank name","chromium","Fri Apr 03 04:32:34 UTC 2026","passed","Fri Apr 03 04:32:35 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","3336","should complete 2FA setup with valid TOTP code","chromium","Fri Apr 03 04:32:58 UTC 2026","passed","Fri Apr 03 04:33:02 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","534","should display Ukrainian content by default","mobile-chrome","Fri Apr 03 04:33:07 UTC 2026","passed","Fri Apr 03 04:33:08 UTC 2026","Home page","smoke/home.spec.ts","",""
"","536","should display Ukrainian content by default","chromium","Fri Apr 03 04:33:03 UTC 2026","passed","Fri Apr 03 04:33:03 UTC 2026","Home page","smoke/home.spec.ts","",""
"","5709","should not send email for non-existent user","mobile-chrome","Fri Apr 03 04:32:45 UTC 2026","passed","Fri Apr 03 04:32:50 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","1407","should show error for duplicate email","mobile-chrome","Fri Apr 03 04:32:48 UTC 2026","passed","Fri Apr 03 04:32:49 UTC 2026","Register page","auth/register.spec.ts","",""
"","726","should delete rule from list","chromium","Fri Apr 03 04:32:46 UTC 2026","passed","Fri Apr 03 04:32:46 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1317","should navigate to centralized audit page filtered by feature flag","chromium","Fri Apr 03 04:33:18 UTC 2026","passed","Fri Apr 03 04:33:19 UTC 2026","Feature flag audit log (centralized)","admin/feature-flags-audit.spec.ts","",""
"","1218","authenticate as basic user","auth-setup","Fri Apr 03 04:32:30 UTC 2026","passed","Fri Apr 03 04:32:31 UTC 2026","","../src/auth/auth.setup.ts","",""
"","1666","should update description and verify persistence","mobile-chrome","Fri Apr 03 04:32:36 UTC 2026","passed","Fri Apr 03 04:32:38 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","3072","should login with valid credentials","chromium","Fri Apr 03 04:32:34 UTC 2026","passed","Fri Apr 03 04:32:37 UTC 2026","Login page","auth/login.spec.ts","",""
"","906","should create new user via admin form","chromium","Fri Apr 03 04:32:48 UTC 2026","passed","Fri Apr 03 04:32:49 UTC 2026","User management","admin/user-management.spec.ts","",""
"","3532","should show 2FA status after enabling","chromium","Fri Apr 03 04:32:58 UTC 2026","passed","Fri Apr 03 04:33:02 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","1486","should show error with invalid credentials","mobile-chrome","Fri Apr 03 04:32:39 UTC 2026","passed","Fri Apr 03 04:32:40 UTC 2026","Login page","auth/login.spec.ts","",""
"","2742","should remove override from table","chromium","Fri Apr 03 04:32:40 UTC 2026","passed","Fri Apr 03 04:32:43 UTC 2026","Feature flag overrides","admin/feature-flags-overrides.spec.ts","",""
"","1798","should update rollout percentage","chromium","Fri Apr 03 04:32:35 UTC 2026","passed","Fri Apr 03 04:32:37 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","786","should delete user from detail page","chromium","Fri Apr 03 04:32:51 UTC 2026","passed","Fri Apr 03 04:32:52 UTC 2026","User management","admin/user-management.spec.ts","",""
"","689","should stay on root URL (no locale prefix)","mobile-chrome","Fri Apr 03 04:33:07 UTC 2026","passed","Fri Apr 03 04:33:07 UTC 2026","Home page","smoke/home.spec.ts","",""
"","693","should stay on root URL (no locale prefix)","chromium","Fri Apr 03 04:33:02 UTC 2026","passed","Fri Apr 03 04:33:03 UTC 2026","Home page","smoke/home.spec.ts","",""
"","1093","should navigate to centralized audit page filtered by feature flag","mobile-chrome","Fri Apr 03 04:33:17 UTC 2026","passed","Fri Apr 03 04:33:18 UTC 2026","Feature flag audit log (centralized)","admin/feature-flags-audit.spec.ts","",""
"","6066","should not send email for non-existent user","chromium","Fri Apr 03 04:32:40 UTC 2026","passed","Fri Apr 03 04:32:46 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","403","should display feature flags list","mobile-chrome","Fri Apr 03 04:32:38 UTC 2026","passed","Fri Apr 03 04:32:39 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","663","should show preference switches","chromium","Fri Apr 03 04:33:02 UTC 2026","passed","Fri Apr 03 04:33:03 UTC 2026","Notification preferences","notifications/notification-preferences.spec.ts","",""
"","889","should show forgot password link when no token","chromium","Fri Apr 03 04:32:44 UTC 2026","passed","Fri Apr 03 04:32:45 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","829","should redirect unauthenticated user from protected route to login","chromium","Fri Apr 03 04:32:41 UTC 2026","passed","Fri Apr 03 04:32:42 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","1652","should have link back to login page and navigate to it","mobile-chrome","Fri Apr 03 04:32:35 UTC 2026","passed","Fri Apr 03 04:32:37 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","711","should show preference switches","mobile-chrome","Fri Apr 03 04:33:06 UTC 2026","passed","Fri Apr 03 04:33:07 UTC 2026","Notification preferences","notifications/notification-preferences.spec.ts","",""
"","3338","should display verify 2FA page elements","mobile-chrome","Fri Apr 03 04:32:57 UTC 2026","passed","Fri Apr 03 04:33:00 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","525","should show pagination when many flags exist","chromium","Fri Apr 03 04:32:44 UTC 2026","passed","Fri Apr 03 04:32:44 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","1450","should show error for invalid token on submit","chromium","Fri Apr 03 04:32:45 UTC 2026","passed","Fri Apr 03 04:32:47 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","1157","should have Google button as type=button (not submit)","chromium","Fri Apr 03 04:32:33 UTC 2026","passed","Fri Apr 03 04:32:34 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","377","should display create flag form elements","chromium","Fri Apr 03 04:32:41 UTC 2026","passed","Fri Apr 03 04:32:42 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","1844","should register with valid data","chromium","Fri Apr 03 04:32:42 UTC 2026","passed","Fri Apr 03 04:32:44 UTC 2026","Register page","auth/register.spec.ts","",""
"","1877","should send email to registered user","mobile-chrome","Fri Apr 03 04:32:44 UTC 2026","passed","Fri Apr 03 04:32:46 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","967","should show pagination controls when multiple pages","chromium","Fri Apr 03 04:32:30 UTC 2026","passed","Fri Apr 03 04:32:31 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","1538","should show error for invalid token on submit","mobile-chrome","Fri Apr 03 04:32:51 UTC 2026","passed","Fri Apr 03 04:32:53 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","721","should display overrides section on detail page","chromium","Fri Apr 03 04:32:37 UTC 2026","passed","Fri Apr 03 04:32:38 UTC 2026","Feature flag overrides","admin/feature-flags-overrides.spec.ts","",""
"","1706","should update description and verify persistence","chromium","Fri Apr 03 04:32:38 UTC 2026","passed","Fri Apr 03 04:32:40 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","602","should navigate back to list from detail page","mobile-chrome","Fri Apr 03 04:32:35 UTC 2026","passed","Fri Apr 03 04:32:36 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","3206","should redirect to 2FA verification after login when 2FA is enabled","mobile-chrome","Fri Apr 03 04:32:56 UTC 2026","passed","Fri Apr 03 04:32:59 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","588","should cancel creation and return to list","mobile-chrome","Fri Apr 03 04:32:32 UTC 2026","passed","Fri Apr 03 04:32:33 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
