"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","629","should have audit log link on feature flag detail page","mobile-chrome","Thu Jul 02 06:02:17 UTC 2026","passed","Thu Jul 02 06:02:18 UTC 2026","Feature flag audit log (centralized)","admin/feature-flags-audit.spec.ts","",""
"","2286","should navigate to API OAuth endpoint when clicking Google button on login","mobile-chrome","Thu Jul 02 06:01:16 UTC 2026","passed","Thu Jul 02 06:01:19 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","3298","should display verify 2FA page elements","mobile-chrome","Thu Jul 02 06:01:36 UTC 2026","passed","Thu Jul 02 06:01:39 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","777","should show validation error for empty email submission","mobile-chrome","Thu Jul 02 06:01:48 UTC 2026","passed","Thu Jul 02 06:01:49 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","5111","should show error when reusing an already-used token","mobile-chrome","Thu Jul 02 06:01:21 UTC 2026","passed","Thu Jul 02 06:01:26 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","1975","should register with valid data","chromium","Thu Jul 02 06:01:52 UTC 2026","passed","Thu Jul 02 06:01:54 UTC 2026","Register page","auth/register.spec.ts","",""
"","420","should navigate to flag detail from list","chromium","Thu Jul 02 06:01:35 UTC 2026","passed","Thu Jul 02 06:01:36 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","1530","should filter by entity type","chromium","Thu Jul 02 06:01:24 UTC 2026","passed","Thu Jul 02 06:01:26 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","728","should show key as read-only on edit page","chromium","Thu Jul 02 06:01:31 UTC 2026","passed","Thu Jul 02 06:01:32 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","1324","should show validation error for empty password fields","chromium","Thu Jul 02 06:01:54 UTC 2026","passed","Thu Jul 02 06:01:56 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","2542","should enable 2FA and show QR code with secret key","mobile-chrome","Thu Jul 02 06:01:42 UTC 2026","passed","Thu Jul 02 06:01:44 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","1940","should show validation error for invalid email format","mobile-chrome","Thu Jul 02 06:01:15 UTC 2026","passed","Thu Jul 02 06:01:17 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","1285","should create new user via admin form","mobile-chrome","Thu Jul 02 06:01:46 UTC 2026","passed","Thu Jul 02 06:01:47 UTC 2026","User management","admin/user-management.spec.ts","",""
"","1797","should show error with invalid credentials","mobile-chrome","Thu Jul 02 06:01:18 UTC 2026","passed","Thu Jul 02 06:01:20 UTC 2026","Login page","auth/login.spec.ts","",""
"","986","should display preferences form","mobile-chrome","Thu Jul 02 06:01:46 UTC 2026","passed","Thu Jul 02 06:01:47 UTC 2026","Notification preferences","notifications/notification-preferences.spec.ts","",""
