"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","847","should delete flag from list","mobile-chrome","Sun May 17 05:51:23 UTC 2026","passed","Sun May 17 05:51:24 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","909","should show validation error for short password","mobile-chrome","Sun May 17 05:51:21 UTC 2026","passed","Sun May 17 05:51:22 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","666","should navigate back to list from detail page","mobile-chrome","Sun May 17 05:51:18 UTC 2026","passed","Sun May 17 05:51:18 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","999","should show error for duplicate email","mobile-chrome","Sun May 17 05:51:18 UTC 2026","passed","Sun May 17 05:51:19 UTC 2026","Register page","auth/register.spec.ts","",""
"","3059","should complete login with valid TOTP code after 2FA redirect","mobile-chrome","Sun May 17 05:51:27 UTC 2026","passed","Sun May 17 05:51:30 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","767","should show validation error for empty password fields","mobile-chrome","Sun May 17 05:51:20 UTC 2026","passed","Sun May 17 05:51:21 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","1162","authenticate as basic user","auth-setup","Sun May 17 05:51:10 UTC 2026","passed","Sun May 17 05:51:11 UTC 2026","","../src/auth/auth.setup.ts","",""
"","513","should display create rule form elements","mobile-chrome","Sun May 17 05:51:25 UTC 2026","passed","Sun May 17 05:51:25 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","4127","should complete full password reset flow (forgot -> email -> reset -> login)","chromium","Sun May 17 05:50:55 UTC 2026","passed","Sun May 17 05:50:59 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","1553","should add tier override and see it in table","mobile-chrome","Sun May 17 05:51:19 UTC 2026","passed","Sun May 17 05:51:21 UTC 2026","Feature flag overrides","admin/feature-flags-overrides.spec.ts","",""
"","552","should allow access to register page","chromium","Sun May 17 05:51:01 UTC 2026","passed","Sun May 17 05:51:01 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","487","should show validation error for empty email submission","mobile-chrome","Sun May 17 05:51:33 UTC 2026","passed","Sun May 17 05:51:33 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","429","should display rate limits list","chromium","Sun May 17 05:51:35 UTC 2026","passed","Sun May 17 05:51:35 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","647","should show success state even for non-existent email (enumeration prevention)","mobile-chrome","Sun May 17 05:51:32 UTC 2026","passed","Sun May 17 05:51:33 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","895","should have Google button as type=button (not submit)","chromium","Sun May 17 05:50:54 UTC 2026","passed","Sun May 17 05:50:55 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","830","should delete rule from list","mobile-chrome","Sun May 17 05:51:26 UTC 2026","passed","Sun May 17 05:51:27 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1393","should navigate to API OAuth endpoint when clicking Google button on register","chromium","Sun May 17 05:50:54 UTC 2026","passed","Sun May 17 05:50:55 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","460","should allow access to public home page","mobile-chrome","Sun May 17 05:51:17 UTC 2026","passed","Sun May 17 05:51:17 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","866","should have audit log link on feature flag detail page","mobile-chrome","Sun May 17 05:51:59 UTC 2026","passed","Sun May 17 05:52:00 UTC 2026","Feature flag audit log (centralized)","admin/feature-flags-audit.spec.ts","",""
"","586","should allow access to forgot password page","mobile-chrome","Sun May 17 05:51:32 UTC 2026","passed","Sun May 17 05:51:32 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","402","should display user list","chromium","Sun May 17 05:51:38 UTC 2026","passed","Sun May 17 05:51:38 UTC 2026","User management","admin/user-management.spec.ts","",""
"","731","should show error for invalid token on submit","chromium","Sun May 17 05:51:03 UTC 2026","passed","Sun May 17 05:51:04 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","873","should create flag with minimum required fields only","chromium","Sun May 17 05:51:24 UTC 2026","passed","Sun May 17 05:51:25 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","457","should allow access to public home page","chromium","Sun May 17 05:51:00 UTC 2026","passed","Sun May 17 05:51:01 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","520","should display reset password form with token in URL","chromium","Sun May 17 05:51:03 UTC 2026","passed","Sun May 17 05:51:03 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","2659","authenticate as admin user","auth-setup","Sun May 17 05:51:10 UTC 2026","passed","Sun May 17 05:51:13 UTC 2026","","../src/auth/auth.setup.ts","",""
"","754","should update rule details","chromium","Sun May 17 05:51:37 UTC 2026","passed","Sun May 17 05:51:38 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1737","should enable 2FA and show QR code with secret key","chromium","Sun May 17 05:51:12 UTC 2026","passed","Sun May 17 05:51:14 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
